DEPARTAMENTO,PROVINCIA,DISTRITO,DISTANCIA,UBIGEO,ANIO,TOTAL_POBLACION,TOTAL_VIVIENDA,VIVIENDAS_HABITADAS,POBLACION_CON_COBERTURA,POBLACION_SIN_COBERTURA,FECHA_CORTE,Latitude,Longitude
CUSCO,ACOMAYO,ACOPIA,38,80202,2019,267,78,68,267.0,0.0,20230810,-14.057335,-71.4929519
CUSCO,ACOMAYO,ACOPIA,38,80202,2019,1680,600,420,1680.0,0.0,20230810,-14.057335,-71.4929519
CUSCO,ACOMAYO,ACOPIA,38,80202,2019,147,42,37,147.0,0.0,20230810,-14.057335,-71.4929519
CUSCO,ACOMAYO,ACOPIA,38,80202,2019,128,43,32,128.0,0.0,20230810,-14.057335,-71.4929519
CUSCO,ACOMAYO,ACOPIA,38,80202,2019,453,170,151,453.0,0.0,20230810,-14.057335,-71.4929519
CUSCO,ACOMAYO,ACOPIA,38,80202,2019,586,148,103,586.0,0.0,20230810,-14.057335,-71.4929519
CUSCO,ACOMAYO,ACOS,9,80203,2019,1800,580,501,1800.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,35,17,12,35.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,58,28,25,58.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,47,41,20,47.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,1,4,1,1.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,5,6,2,5.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,295,115,95,295.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,25,10,5,25.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,137,42,38,137.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,76,38,20,76.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,72,23,18,72.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,75,25,20,75.0,0.0,20230810,-13.9512794,-71.738232
CUSCO,ACOMAYO,ACOS,9,80203,2019,154,77,42,154.0,0.0,20230810,-13.9512794,-71.738232
